/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,待機時間,体力,パワー,アイテム0,1,2,3,4,5,6,弾の種類,弾幕種類
3100,79,2,-40,432,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
3150,79,2,-40,336,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
3200,79,2,-40,240,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
3250,79,2,-40,144,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
3300,79,2,-40,48,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
3500,66,0,240,-40,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3500,67,0,400,-40,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3550,70,0,240,-40,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3550,72,0,-40,240,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3600,68,0,240,520,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3600,69,0,400,520,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3700,19,1,0,520,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3710,21,1,680,0,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3720,18,1,0,-40,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3730,24,1,-40,0,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3740,20,1,0,520,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3750,22,1,-40,0,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3760,17,1,0,-40,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3770,23,1,680,520,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3810,76,2,-40,200,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3830,74,2,680,200,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
3890,26,2,35,680,2.5,30,120,10,10,-1,-1,-1,-1,-1,-1,-1,0,9
3920,25,2,605,-40,2.5,30,120,10,10,-1,-1,-1,-1,-1,-1,-1,0,9
3950,78,2,680,445,2.5,30,120,10,10,-1,-1,-1,-1,-1,-1,-1,0,9
3980,79,2,-40,35,2.5,30,120,10,10,-1,-1,-1,-1,-1,-1,-1,0,9
4100,75,0,680,240,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4120,76,0,-40,240,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4180,44,0,100,520,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4200,45,0,540,520,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4250,58,1,680,30,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4270,60,1,-40,30,5,25,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4290,64,1,-40,450,5,15,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4310,62,1,-40,450,5,20,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4350,80,2,-40,30,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4370,2,2,670,-40,5,50,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4400,21,2,680,0,4.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4420,22,2,-40,0,4.5,25,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
4500,25,2,320,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,10
4600,25,2,250,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
4700,25,2,490,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
4800,25,2,320,-40,2.5,30,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,10
